id;nome;nazione;citta;indirizzo;latitudine;longitudine;prezzoMedio;delivery;booking;tipoCucina;descrizione;servizi;recensioniIDs
87;Talia;IE;Magallanes;650 Texas Center;14.5624842;121.0482871;71;true;false;Russa;De-engineered 3rd generation function;Team-oriented value-added task-force;[]
88;Darbie;HU;Pueai Noi;72948 Ramsey Avenue;15.8874847;102.8744945;67;true;false;Russa;Cross-group uniform methodology;Horizontal incremental implementation;[]
89;Myrlene;US;Pantenan;55 High Crossing Circle;-6.9158643;112.4351068;65;true;true;Argentina;Advanced discrete application;Front-line 24/7 core;[]
90;Star;US;Quinua;2 Michigan Lane;-13.05526;-74.139107;4;true;false;Cinese;Function-based zero administration service-desk;Networked demand-driven archive;[]
91;Ermina;DE;Reims;17 Autumn Leaf Avenue;49.336;4.0935629;63;false;true;Cinese;Extended object-oriented intranet;Reactive context-sensitive standardization;[]
92;Thaddus;US;Radashkovichy;74020 Maywood Terrace;54.157108;27.2318325;73;true;true;Italiana;Monitored regional system engine;Digitized optimizing groupware;[]
93;Donnie;PL;Nanqiao;86 Browning Street;32.200197;118.41697;29;true;true;Italiana;User-centric intermediate info-mediaries;Managed scalable knowledge base;[]
94;Lind;DE;Daxinshao;59 Messerschmidt Court;24.246769;103.451951;95;false;true;Cinese;User-friendly 24 hour system engine;Cross-platform stable service-desk;[]
95;Annelise;US;Nanganga;87146 Welch Point;-10.3931514;39.1361568;41;true;true;Italiana;Quality-focused multimedia website;Profit-focused explicit intranet;[]
96;Bordy;AT;Mahaica Village;7 Beilfuss Alley;6.6888595;-57.9190961;62;false;true;Cinese;Integrated clear-thinking productivity;Cross-platform content-based function;[]
97;Nikolaos;IT;Katrineholm;95777 Duke Lane;59.0110968;16.2239747;64;false;true;Cinese;Organic dynamic extranet;Face to face hybrid conglomeration;[]
98;Shanda;US;Tours;62 Ohio Park;47.3892142;0.6942885;84;true;false;Russa;Ameliorated uniform task-force;Intuitive value-added interface;[]
99;Nance;US;Krasna;38380 Dahle Drive;48.2240339;23.9298885;93;true;true;Russa;Fully-configurable system-worthy adapter;Customizable 3rd generation circuit;[]
100;Benetta;AT;Jalālpur Pīrwāla;22767 Loomis Alley;29.5079723;71.2430776;18;true;true;Cinese;Networked modular access;Robust modular local area network;[]
101;Blayne;AT;Huertas;7023 7th Place;-11.7659957;-75.4723411;18;false;false;Russa;Ergonomic secondary task-force;Decentralized object-oriented ability;[]
102;Manya;FR;Jiahu;4 Knutson Plaza;33.612843;113.667436;88;false;false;Cinese;Public-key holistic protocol;Intuitive tertiary Graphical User Interface;[]
103;Dukie;DE;Umuquena;46 Montana Pass;8.2673715;-72.0631118;29;false;false;Russa;Stand-alone client-driven migration;Devolved eco-centric collaboration;[]
104;Miguel;US;Kambing;4 Marquette Junction;14.5177485;120.5973573;18;true;true;Cinese;Programmable client-driven pricing structure;Optional 6th generation service-desk;[]
105;Christiane;US;Ciénaga de Oro;41660 Corben Junction;8.8105088;-75.632447;64;false;false;Italiana;Right-sized incremental hub;Advanced asynchronous knowledge user;[]
106;Peggy;US;Gandiaye;40 Anderson Alley;14.2445365;-16.2728091;13;true;false;Argentina;Decentralized attitude-oriented concept;Organized incremental paradigm;[]
107;Debee;AT;Alegria;9478 Coolidge Plaza;14.5020933;121.0309165;19;false;true;Argentina;Multi-layered coherent structure;Assimilated global framework;[]
108;Nelli;US;Nowshera Cantonment;4 Schlimgen Way;34.0083715;72.0109863;41;true;true;Russa;Distributed mobile interface;Team-oriented upward-trending workforce;[]
109;Melodee;US;Goodlands;11 Eagan Trail;-20.0391408;57.6495717;97;true;false;Italiana;Centralized fresh-thinking moderator;Right-sized analyzing leverage;[]
110;Ulick;DE;Walenrang;250 Southridge Circle;-2.8800399;120.1242853;96;true;false;Russa;Function-based full-range data-warehouse;Open-architected bifurcated circuit;[]
111;Carita;US;Qianjin;6898 Manufacturers Lane;46.814102;130.375062;54;true;true;Cinese;Horizontal client-server matrix;Inverse incremental utilisation;[]
112;Enrica;ES;Anchorage;4 Mitchell Parkway;61.148769;-149.8010811;93;true;false;Argentina;Down-sized asynchronous projection;Customizable regional matrix;[]
113;Wilone;US;Kangping;480 John Wall Way;42.741005;123.355701;48;true;false;Argentina;Polarised client-driven collaboration;Fully-configurable bottom-line artificial intelligence;[]
114;Dwight;US;Nickby;73021 Erie Street;60.3763373;25.2708919;89;true;false;Italiana;Focused 24/7 neural-net;Phased discrete success;[]
115;Ayn;BE;Domoni;6981 Glendale Park;-12.2632051;44.5290018;19;false;true;Russa;Cross-group zero defect task-force;Digitized radical database;[]
116;Paige;FR;Daleman;2501 Everett Center;-7.7276103;110.8582722;33;false;true;Italiana;Secured stable approach;Upgradable actuating Graphical User Interface;[]
117;Tony;US;Xike;88 Blackbird Drive;31.228026;121.454211;94;true;true;Argentina;Up-sized maximized alliance;Switchable coherent matrix;[]
118;Kitti;US;Zgornje Jezersko;337 Weeping Birch Place;46.3940407;14.4979088;25;false;false;Cinese;Cross-platform mission-critical task-force;Visionary bandwidth-monitored archive;[]
119;Virgina;DE;Linao;3552 Buena Vista Circle;14.572396;120.995514;53;true;true;Cinese;Persistent neutral local area network;Secured heuristic matrices;[]
120;Karole;US;Buenavista;86164 Summer Ridge Plaza;19.602311;-99.1732936;21;true;false;Argentina;Business-focused transitional time-frame;Profit-focused methodical conglomeration;[]
121;Benoit;US;Hengtanggang;11 3rd Hill;31.535184;116.513899;52;false;false;Italiana;Object-based 6th generation installation;Pre-emptive reciprocal adapter;[]
122;Ignaz;LU;San Jose Village;1502 Esch Way;14.9699796;145.6412079;46;false;false;Cinese;Proactive exuding success;Front-line asynchronous database;[]
123;Jerrome;US;Stockholm;826 Green Parkway;47.0163969;-68.1430029;69;false;true;Russa;Cross-group optimizing support;Optimized maximized internet solution;[]
124;Anissa;ES;Muurla;300 Trailsway Junction;60.3496505;23.2799707;44;false;false;Argentina;Self-enabling reciprocal parallelism;Automated needs-based initiative;[]
125;Douglas;US;São Lourenço da Mata;9 Weeping Birch Terrace;-8.0075658;-35.0221895;71;true;true;Cinese;Reduced disintermediate parallelism;Horizontal holistic model;[]
126;Antoine;PL;Palhais;737 Onsgard Trail;40.9443261;-7.559557;4;true;true;Italiana;Re-engineered optimizing concept;Switchable tertiary data-warehouse;[]
127;Gearalt;US;Tai Po;43540 Alpine Road;22.4423218;114.1655064;4;false;false;Italiana;Synergized intangible Graphical User Interface;Vision-oriented analyzing success;[]
128;Amelia;US;Örnsköldsvik;2 Trailsway Street;63.2914986;18.7137077;2;false;false;Argentina;Optimized didactic secured line;Multi-channelled 4th generation attitude;[]
129;Gerty;IT;Bacnor East;146 Mallory Drive;17.0521348;121.7050399;50;false;true;Argentina;Secured disintermediate middleware;Public-key 5th generation project;[]
130;Germana;AT;Dengfang;9767 North Park;34.454443;113.050581;6;true;true;Cinese;Synergized reciprocal knowledge user;Self-enabling grid-enabled core;[]
131;Britt;PT;Hüremt;4935 South Trail;48.659828;102.625198;81;false;false;Cinese;Networked global extranet;Focused analyzing secured line;[]
132;Harriett;US;Liliana;3 Aberg Crossing;-9.7040122;124.1114621;25;false;false;Russa;Future-proofed human-resource parallelism;Fully-configurable incremental implementation;[]
133;Athene;US;Novosemeykino;0 Kinsman Plaza;53.3791711;50.3248312;90;true;false;Cinese;Versatile national circuit;Sharable object-oriented strategy;[]
134;Christal;DE;Castleknock;51 Mallard Street;53.2760162;-9.0248232;89;false;true;Argentina;Vision-oriented high-level matrix;Grass-roots 24/7 collaboration;[]
135;Druci;US;Baiyang;295 Barby Lane;34.540852;109.44096;42;true;true;Russa;Future-proofed eco-centric utilisation;User-centric uniform functionalities;[]
136;Trevar;US;Ryki;671 Schurz Center;51.6256317;21.9326303;62;false;true;Italiana;Inverse didactic collaboration;Visionary cohesive strategy;[]
137;Kathrine;IT;Madang;19 Kropf Lane;29.990948;116.659999;22;false;false;Cinese;Optional dedicated matrices;Configurable next generation task-force;[]
138;Kriste;FR;Cikijing;3 Westend Lane;-7.0117033;108.3682641;69;false;true;Italiana;Networked next generation database;User-centric dedicated core;[]
139;Mahala;SE;Caçapava do Sul;5 Nelson Road;-30.5148445;-53.4832383;89;false;true;Argentina;Re-contextualized real-time installation;Inverse system-worthy monitoring;[]
140;Tobit;IE;Grand Junction;05 Crowley Junction;39.0638705;-108.5506486;11;true;true;Russa;Down-sized optimizing process improvement;Optional regional monitoring;[]
141;Olimpia;US;Åkersberga;5 Barby Trail;59.4871523;18.4207352;67;true;false;Argentina;Mandatory demand-driven pricing structure;Right-sized zero administration task-force;[]
142;Phaedra;US;Nikísiani;4627 Artisan Circle;40.9492064;24.142372;39;true;false;Argentina;Business-focused zero tolerance archive;Enterprise-wide context-sensitive function;[]
143;Hunt;US;Phùng;8679 Elmside Avenue;21.0877573;105.6603149;78;false;false;Argentina;Team-oriented 24/7 extranet;Public-key transitional model;[]
144;Rori;DE;Yatsushiro;26 Darwin Court;35.7914051;140.2792041;74;false;true;Italiana;De-engineered asymmetric interface;Front-line fault-tolerant website;[]
145;Hailey;DE;Mangero;49 Cardinal Way;13.3666668;122.6500015;41;true;false;Argentina;Managed methodical matrices;Monitored clear-thinking focus group;[]
146;Raviv;US;Karangagung Timur;34821 Ridgeview Road;-6.9002217;112.1653766;52;false;true;Cinese;Future-proofed human-resource neural-net;Intuitive optimal utilisation;[]
147;Gilberta;LU;Zhangting;515 Lindbergh Parkway;30.029634;121.281625;62;true;true;Italiana;Virtual 5th generation matrix;Reduced analyzing intranet;[]
148;Siana;US;Vila Chã;03759 Marcy Way;41.303548;-8.7353479;21;false;true;Russa;Configurable human-resource project;Digitized user-facing model;[]
149;Candide;US;Vodňany;6753 Aberg Hill;49.1478969;14.1751311;46;true;false;Italiana;Open-architected context-sensitive algorithm;Realigned multimedia definition;[]
150;Hewet;DE;Vysotskoye;9 Washington Center;45.0209955;42.9021581;92;false;true;Cinese;Robust incremental utilisation;Synergized context-sensitive productivity;[]
151;Dewey;US;Krajan Pakel;8 Clyde Gallagher Terrace;-8.1209842;111.9021476;98;true;false;Cinese;Re-contextualized stable process improvement;Implemented grid-enabled utilisation;[]
152;Randi;FR;Kemlya;2997 Manley Hill;54.6119569;45.9028182;61;false;false;Cinese;Stand-alone analyzing projection;Sharable upward-trending neural-net;[]
153;Xaviera;US;Maoping;83652 Victoria Alley;30.823054;110.973252;7;false;false;Cinese;Vision-oriented optimal leverage;Profit-focused intangible implementation;[]
154;Marcille;AT;Klutuk;048 Killdeer Alley;-6.8268504;111.8359916;81;true;true;Italiana;Enterprise-wide national open architecture;Realigned actuating product;[]
155;Bess;US;Cinunjang;65963 Pierstorff Avenue;-7.4250762;108.2822389;74;false;true;Cinese;Persevering attitude-oriented open architecture;Synergized asynchronous customer loyalty;[]
156;Carla;US;Pato Branco;6 Knutson Pass;-26.2297202;-52.6711356;4;true;false;Argentina;Synchronised content-based hub;Digitized transitional circuit;[]
157;Fonzie;US;Bīrganj;5720 Dahle Alley;27.0449005;84.8672171;90;false;false;Argentina;Secured zero administration local area network;Implemented mobile data-warehouse;[]
158;Marlee;IT;Talawi;28 Brown Way;3.1638781;99.5339744;49;true;true;Russa;Diverse holistic parallelism;Cross-group asynchronous toolset;[]
159;Glen;US;Uppsala;47 Bultman Place;59.853262;17.6356163;12;false;true;Cinese;Reduced 24 hour capacity;Distributed solution-oriented secured line;[]
160;Marla;US;Al ‘Awjah;46 Cody Parkway;34.5235452;43.7190392;92;false;true;Argentina;Ameliorated foreground standardization;Profit-focused zero defect focus group;[]
161;Tomasina;US;Marte;354 Walton Street;12.3640592;13.8277397;76;true;true;Cinese;Optional holistic policy;Right-sized regional software;[]
162;Meyer;US;Usogorsk;51517 Loeprich Crossing;63.4258542;48.67174;69;true;false;Russa;Monitored maximized utilisation;Universal object-oriented implementation;[]
163;Melvin;AT;Ellös;20 Bunting Trail;58.18501;11.4668922;25;true;false;Argentina;Fundamental national support;Optional coherent hardware;[]
164;Terese;IE;Shijak;86656 Sage Drive;41.3458989;19.5657349;27;true;true;Italiana;User-centric mobile website;Intuitive content-based standardization;[]
165;Camala;DE;Lusaka;37 Green Ridge Place;-15.3875259;28.3228165;53;true;true;Cinese;Object-based fresh-thinking conglomeration;Devolved maximized infrastructure;[]
166;Rhiamon;IE;Kyoto;0 Comanche Park;34.9540542;135.7515062;4;true;true;Cinese;Quality-focused disintermediate array;Pre-emptive optimal concept;[]
167;Page;US;Mufumbwe;1152 Luster Pass;-13.683333;24.8;22;true;false;Cinese;Customizable even-keeled installation;Visionary grid-enabled standardization;[]
168;Salvatore;US;Nuga;55 Fairfield Way;49.0757178;107.0295809;32;false;true;Argentina;Persevering zero defect project;Devolved incremental function;[]
169;Laural;US;Urzhar;6108 6th Terrace;47.086965;81.6315231;66;false;false;Argentina;Phased holistic focus group;Future-proofed didactic info-mediaries;[]
170;Hersh;IT;Zarqa;61 Mendota Alley;32.0608187;36.0941795;26;false;true;Argentina;Team-oriented even-keeled workforce;Sharable non-volatile hierarchy;[]
171;Brendon;IE;Ugba;8310 Pond Circle;7.5060948;9.3506604;44;true;false;Italiana;Synergistic foreground moderator;Synchronised executive migration;[]
172;Irma;DE;Funehikimachi-funehiki;494 Sunfield Trail;37.4391941;140.5728754;14;false;true;Italiana;Switchable needs-based leverage;Business-focused modular function;[]
173;Kenn;DE;Lexington;38163 Darwin Junction;37.99;-84.52;92;true;false;Italiana;Reactive incremental middleware;Profound clear-thinking open system;[]
174;Herbie;DE;Nouaseur;85338 Miller Court;33.3527276;-7.5788975;21;true;true;Cinese;Business-focused multi-tasking moratorium;Managed optimizing conglomeration;[]
175;Banky;IT;Levandeira;516 Graedel Circle;39.9167763;-7.4517472;37;false;true;Argentina;Robust client-server moratorium;Secured directional monitoring;[]
176;Jehu;US;Shuyuan;80959 Mockingbird Street;40.039342;116.260921;13;false;false;Russa;Diverse bi-directional attitude;Distributed 24 hour analyzer;[]
177;Margeaux;US;Baoxing;7 Marquette Crossing;30.368126;102.814531;33;false;true;Italiana;Intuitive local strategy;Distributed intermediate artificial intelligence;[]
178;Mac;DE;Claver;7 Shasta Crossing;9.541232;125.820626;56;true;false;Cinese;Robust real-time customer loyalty;Profound hybrid hardware;[]
179;Lena;IT;Paghmān;48705 Erie Park;34.5911393;68.9569399;23;true;true;Argentina;Object-based full-range access;Synergistic bottom-line projection;[]
